study_id	doi	pmid	year	species	taxon	stressor	stressor_category	conditioning_stage	dose_treatment	duration	generations	transmission	challenge	persistence_days	multiple_timepoints	decay	readouts	direction	effect_magnitude	molecular_layers	concordance	applied_framing	replication	evidence_source	editorial_notice	notes	cluster
Bellantuono_2012	10.1098/rspb.2011.1780	21976690	2012	Acropora millepora	Coral/cnidarian	elevated temperature (sublethal preconditioning 3 C below bleaching threshold)	Temperature	Broodstock/adult	preconditioning 28 C (3 C below experimentally determined bleaching threshold) vs unheated control; challenge 31 C, ramped at 2 C/day	10 d preconditioning at 28 C	F0	Within-generation only	8 days at 31 C (hyperthermal challenge)	0	Yes	Persisted	bleaching (visual); Symbiodinium density; Symbiodinium ITS genotype; bacterial community (DGGE); host transcriptome	Improved	non-preconditioned corals bleached while preconditioned corals maintained Symbiodinium density over 8 d at 31 C; 9 genes separated preconditioned from non-preconditioned, 42 genes control vs preconditioned, 70 genes non-preconditioned vs control	Targeted qPCR; Transcriptome (RNA-seq)	Not evaluated	None	replicate tanks per treatment (n not resolved from accessible text); one nubbin sampled per replicate tank per timepoint	Full text	None found	Row merges the two companion papers reporting the SAME preconditioning experiment per one-row-per-experiment rule: Proc R Soc B 10.1098/rspb.2011.1780 (physiology, symbiont/bacterial genotyping) and Bellantuono et al. 2012 PLoS ONE 10.1371/journal.pone.0050685 / PMID 23226355 (cDNA microarray transcriptome). The PLoS ONE companion carries a published CORRECTION (notice DOI 10.1371/annotation/2b623dcd-9413-47b0-990d-c46c8e662ad4, 2013-10-21). Molecular layer is cDNA microarray, coded here as Transcriptome. Key finding: acquired tolerance was NOT explained by symbiont or bacterial community shifts, implicating host/symbiont physiological plasticity; apoptosis inhibition implicated.	Coral / cnidarian
Barshis_2013	10.1073/pnas.1210224110	23297204	2013	Acropora hyacinthus	Coral/cnidarian	elevated temperature; natural provenance contrast (highly variable vs moderately variable back-reef pool)	Temperature	Broodstock/adult	provenance contrast: highly variable (HV) pool (regularly >35 C, well above 30.2 C regional bleaching threshold) vs moderately variable (MV) pool; experimental challenge 'simulated bleaching stress' vs genetically identical control fragments held at normal temperature	natural lifetime residency in HV vs MV pool (no imposed laboratory preconditioning phase)	F0	Within-generation only	simulated bleaching stress (short-term tank heat stress)	not reported	No	Not tested	transcriptome-wide gene expression (RNA-seq); physiological resilience/bleaching	Improved	60 genes constitutively higher-expressed ('frontloaded') in resilient HV corals under control conditions; these transcripts were less up-regulated during heat stress in HV corals; 21 of 30 down-regulated genes showed lower baseline in HV controls	Transcriptome (RNA-seq)	Not evaluated	None	clonal fragment pairs (heated vs control) per colony; exact n not resolved from accessible text	Full text	None found	natural conditioning contrast (frontloading). NO experimental preconditioning phase - the contrast is purely provenance-based (Ofu, American Samoa HV vs MV pools) with a common heat challenge; authors explicitly state the acquired stress resistance results from natural exposure to pool extremes rather than a single laboratory mild stress. Frontloaded set includes HSPs, antioxidants, apoptosis regulators, tumour suppressors, innate immunity, cell adhesion.	Coral / cnidarian
Palumbi_2014	10.1126/science.1251336	24762535	2014	Acropora hyacinthus	Coral/cnidarian	elevated temperature; reciprocal transplant between thermally distinct reef pools	Temperature	Broodstock/adult	reciprocal transplant between a highly variable (HV) and a moderately variable (MV) back-reef pool at Ofu, American Samoa; set-point temperatures not obtainable (paywalled)	up to <2 years residency in destination pool	F0	Within-generation only	experimental heat stress (tank thermal challenge) after transplantation	not reported	No	Not tested	physiological performance (bleaching/photophysiology); transcriptome-wide gene expression	Improved	acclimatization and fixed (adaptive) effects contributed about equally to heat tolerance; in <2 years acclimatization achieved the same heat tolerance expected from strong natural selection over many generations	Transcriptome (RNA-seq)	Not evaluated	Restoration	not reported	Abstract only	None found	natural conditioning contrast plus an experimental transplant conditioning phase (destination pool = the conditioning treatment). Paywalled: exact transplant durations, challenge temperature, persistence window and replication not obtainable from accessible text. Companion/precursor to Barshis et al. 2013 in the same Ofu system.	Coral / cnidarian
Bay_2015	10.1093/gbe/evv085	25979751	2015	Acropora nana	Coral/cnidarian	elevated temperature, stable and diel-variable regimes	Temperature	Broodstock/adult	acclimation at 31 C (stable elevated) or 29-33 C (daily variable, mimicking local heat stress) vs 29 C ambient control	11 d acclimation; variable treatment cycled 29-33 C daily	F0	Within-generation only	acute heat stress: ramp 29 to 34 C over 3 h, 5 h hold at 34 C, return to 29 C overnight	0	Yes	Strengthened	chlorophyll a retained after heat stress (bleaching proxy); transcriptome-wide gene expression	Improved	corals acclimated to 31 C or 29-33 C retained significantly more chlorophyll a after acute heat stress than 29 C controls; heat resistance increased between days 0 and 2 and physiological change complete within 7-11 d; 893 contigs showed acclimation-dependent heat-stress response; no change in baseline expression during acclimation	Transcriptome (RNA-seq)	Discordant	None	3 colonies per tank, 2 tanks per acclimation treatment, 6 colonies per treatment, 18 colonies total; paired heated/control branches per colony	Full text	None found	Key result for the atlas: a diel-variable regime (29-33 C) produced as much acclimation as a stable +2 C regime. Tolerance increased over days 0-2 and 7-11 (strengthening with exposure length, assessed at multiple acclimation durations). Physiology changed WITHOUT baseline expression change - the effect is transcriptional response modulation (dampening), not frontloading; authors distinguish this short-term mode from a longer-term frontloading mode.	Coral / cnidarian
Putnam_2015	10.1242/jeb.123018	26246609	2015	Pocillopora damicornis	Coral/cnidarian	elevated temperature combined with elevated pCO2 (ocean acidification)	Multiple	Broodstock/adult	high treatment 28.9 C / 805 uatm pCO2 vs ambient 26.5 C / 417 uatm pCO2	exposure spanned the larval brooding period (exact duration not obtainable; paywalled)	F0-F1	Maternal	re-exposure of larvae to high temperature + high pCO2	not reported	No	Not tested	adult performance; larval size; larval metabolic rate (respiration)	Mixed	adults exposed to the high treatment performed worse; their larvae showed size differences and metabolic acclimation on re-exposure, which larvae from ambient parents did not	None	Not evaluated	None	not reported	Abstract + citations	None found	First evidence of cross-generational parental effects to combined warming and OA in a reef coral. Authors explicitly flag the two-sided interpretation: parental effects may either ameliorate stress via preconditioning OR amplify the negative parental response through LATENT effects on later life stages (potentially maladaptive). Paywalled: conditioning duration, persistence window and replication not obtainable.	Coral / cnidarian
Ainsworth_2016	10.1126/science.aac7125	27081069	2016	Acropora aspera	Coral/cnidarian	elevated temperature delivered as alternative temperature trajectories (protective sub-bleaching pre-stress vs single bleaching stress)	Temperature	Broodstock/adult	protective trajectory (sub-bleaching pre-stress pulse followed by relaxation, then bleaching stress) vs single bleaching-stress trajectory vs ambient control; exact set-point temperatures not obtainable (paywalled); field analysis expressed thermal stress in degree heating weeks and as degrees above local climatology	not reported (paywalled)	F0	Within-generation only	experimental bleaching-level thermal stress; plus 30 years of observed GBR thermal stress events	not reported	No	Not tested	coral cell mortality; symbiont loss (bleaching); frequency of protective temperature trajectories across the GBR (satellite SST, 1985-2014)	Improved	protective pre-bleaching stress decreased coral cell mortality and symbiont loss during bleaching by over 50%; 75% of past thermal stress events followed a protective trajectory; a local temperature increase of as little as 0.5 C removes the protective trajectory entirely	None	Not evaluated	None	not reported	Abstract + citations	None found	Flagship 'protective thermal trajectory' paper and the clearest documented LOSS of a protective mechanism: +0.5 C of local warming is enough to eliminate the naturally occurring pre-stress pulse, so the induced protection disappears not by decay within the animal but by disappearance of the priming cue. Paywalled: pre-stress temperature, duration, persistence window and replication all unobtainable - flagged as a priority re-extraction target if the PDF becomes available.	Coral / cnidarian
Hawkins_2017	10.1242/jeb.150391	27980125	2016	Exaiptasia pallida	Coral/cnidarian	elevated temperature (warm preconditioning)	Temperature	Broodstock/adult	preconditioning 30 C vs 26 C control; acute challenge 33 C	more than 7 weeks at 30 C	F0	Within-generation only	acute heating to 33 C	0	Yes	Persisted	holobiont respiration; symbiont photosynthetic activity; citrate synthase and mitochondrial ETC complex I, II and IV activities; symbiont loss (bleaching)	Improved	bleaching (significant symbiont loss) delayed by several days in preconditioned anemones; preconditioning raised symbiont photosynthetic activity, holobiont respiration and biomass-normalised host citrate synthase and mETC complex I/IV activities; acute 33 C heating raised host mETC complex I and symbiont mETC complex II activity ONLY in thermally naive animals	None	Not evaluated	None	not reported	Abstract + citations	None found	Rare mechanistic (bioenergetic) preconditioning study in a cnidarian model; proposes host mitochondrial biogenesis/enlargement as the protective mechanism. Long conditioning phase (>7 weeks) relative to most coral priming studies. Full text paywalled: replication and exact assessment schedule not obtainable.	Coral / cnidarian
Klepac_2020a	10.1098/rspb.2020.1379	32811319	2020	Porites lobata	Coral/cnidarian	elevated temperature; transplant into a naturally highly variable thermal environment	Temperature	Broodstock/adult	transplant into highly variable (HV) back-reef pool (brief frequent excursions >35 C, vs regional bleaching threshold 30.2 C) vs native moderately variable (MV) and low variability (LV) pools; acute challenge maxima set ~1 C above the HV pool's mid-day low-tide average maximum, chosen to bleach >50% of fragments	6 and 12 months residency in the HV pool common garden	F0	Within-generation only	acute thermal stress assay (ramp programme) after 6 and after 12 months	~180; ~365	Yes	Not tested	photosynthetic efficiency (Fv/Fm); chlorophyll loss; growth	Worsened	HV-native P. lobata were the MOST bleaching-susceptible group compared with MV and LV natives; MV natives were unaffected by acute heat stress, with Fv/Fm approximately 1.2-1.8x higher in heated MV than heated HV and LV corals at both timepoints; transplants into the HV pool showed no improvement in growth or photophysiology	None	Not evaluated	None	60 ramets (~30 cm3), 4 per genet, distributed across two control and two heat tanks (n ~10-15 ramets per tank)	Full text	None found	natural conditioning contrast. STRONGEST 'preconditioning made it WORSE' result in this set: a year in the most thermally variable environment did not raise tolerance and HV natives were the most susceptible, directly contradicting Barshis 2013 / Palumbi 2014 in the same Ofu system. Confound flagged by authors: a regional thermal anomaly during the study (8 degree heating weeks in 2015, up to 5 DHW in 2016, vs <=3 DHW over the prior decade) may have exceeded HV natives' upper limits. Two persistence windows (6 and 12 months) make this one of the longest-window datasets available. | PERSISTENCE SEMANTICS: this value is an exposure / tracking window under continuous or repeated conditioning, NOT days elapsed after conditioning ended. Do not rank it against clean-recovery-gap rows such as Drury_2022 or Lafont_2017.	Coral / cnidarian
Klepac_2020b	10.1098/rspb.2020.1379	32811319	2020	Goniastrea retiformis	Coral/cnidarian	elevated temperature; transplant into a naturally highly variable thermal environment	Temperature	Broodstock/adult	transplant into highly variable (HV) back-reef pool vs native moderately variable (MV) and low variability (LV) pools; acute challenge maxima ~1 C above the HV pool's mid-day low-tide average maximum	6 and 12 months residency in the HV pool common garden	F0	Within-generation only	acute thermal stress assay (ramp programme) after 6 and after 12 months	~180; ~365	Yes	Not tested	photosynthetic efficiency (Fv/Fm); chlorophyll loss; growth	Mixed	no differences in Fv/Fm among native and transplanted groups, and no effect of heat treatment in January	None	Not evaluated	None	60 ramets (~30 cm3), 4 per genet, distributed across two control and two heat tanks (n ~10-15 ramets per tank); assayed on a separate day from P. lobata	Full text	None found	natural conditioning contrast. Separate row because the two species were assayed on different days with divergent outcomes. Null result: massive-morphology corals were unresponsive to a year of high thermal variability, so the 'variable environment = higher tolerance' rule appears to be morphology/taxon specific rather than general. | Direction revised from 'No effect' to 'Mixed' on verification: Fv/Fm showed no native-vs-transplant difference, but total chlorophyll fell significantly in MV and LV natives versus transplanted G. retiformis Jan->Jul 2016, and heat did affect G. retiformis in July -- a real transplant cost the original coding hid. | PERSISTENCE SEMANTICS: this value is an exposure / tracking window under continuous or repeated conditioning, NOT days elapsed after conditioning ended. Do not rank it against clean-recovery-gap rows such as Drury_2022 or Lafont_2017.	Coral / cnidarian
Majerova_2021	10.1111/mec.15988	34008873	2021	Pocillopora acuta	Coral/cnidarian	elevated temperature (sublethal thermal preconditioning)	Temperature	Broodstock/adult	three-day sublethal thermal preconditioning vs ambient control (described by Louis et al. 2025 as +3 C above ambient); absolute set points not obtainable (paywalled)	3 d preconditioning	F0	Within-generation only	acute heat stress	not reported	No	Not tested	bleaching; pro-survival vs pro-death gene expression ratio (pa-Bcl-2, pa-BI-1 vs pa-BAK, pa-BAX); acid phosphatase activity; caspase-3 activity	Improved	preconditioned corals bleached significantly less; pro-survival:pro-death expression ratio increased; Bcl-2 inhibitor treatment ABOLISHED the improved thermal tolerance	Targeted qPCR	Not evaluated	Restoration	not reported	Abstract + citations	None found	The only causal/interventional mechanism test in this set: pharmacological Bcl-2 inhibition removed the acquired tolerance, implicating programmed cell death (autophagy/symbiophagy rather than apoptosis, since acid phosphatase rose but caspase-3 did not). Authors also show the same expression shift in corals experiencing natural summer thermal maxima in Kaneohe Bay, Hawaii - a natural conditioning contrast alongside the experiment. Paywalled: temperatures, persistence window and replication not obtainable.	Coral / cnidarian
Rivera_2021	10.1242/jeb.236745	33547184	2021	Nematostella vectensis	Coral/cnidarian	elevated temperature (short-term heat stress regime, STHS)	Temperature	Broodstock/adult	parental short-term heat stress (STHS) ramp regime vs control adults held at 20 C; adult challenge 36 C for 6 h; larval challenge across a temperature gradient	STHS regime applied to adults prior to and during spawning (ramp regime; exact daily hold not obtainable)	F0-F1	Maternal	larval thermal tolerance across a temperature gradient (LT50); adult acute 6 h heat shock at 36 C	not reported	Yes	Decayed	larval LT50; larval mortality across temperature gradient; adult survival after heat shock; fertilized oocyte diameter; gametogenesis histology; targeted larval gene expression	Improved	parental heat exposure raised larval LT50 by a mean of 0.3 C consistently; larvae from heat-exposed Massachusetts parents reached thermal thresholds comparable to larvae from an unexposed, genetically distinct, more tolerant North Carolina population; adult survival after a 6 h 36 C heat shock differed significantly between STHS and control adults (p=0.03, Fisher exact test); no difference in fertilized oocyte diameter (p=0.28)	Targeted qPCR	Not evaluated	None	80 mixed-genotype adults per treatment for the adult hardening assay; paired population comparisons (Massachusetts and North Carolina); multiple larval families per cross	Full text	None found	One of only two studies here that DIRECTLY TESTED DECAY: larvae from subsequent spawns returned to baseline thermal thresholds once parents were returned to normal temperature, i.e. the parental effect is fully reversible/plastic rather than a persistent epigenetic mark. Authors attribute the dynamics to maternal effects acting on non-overlapping gametic cohorts. Same plasticity was inherent in both populations, so it is a species-level trait not a population quirk.	Coral / cnidarian
Weizman_2021	10.3390/ijms22147454	34299075	2021	Nematostella vectensis	Coral/cnidarian	field conditioning (natural variable marsh conditions) followed by heat exposure mimicking extreme summer field temperatures	Temperature	Broodstock/adult	field-conditioned animals (explanted to Great Sippewissett Marsh, Massachusetts) vs animals reared in the laboratory for over a year; heat exposure simulating natural extreme summer conditions at the marsh; absolute temperatures not obtainable from accessible text	1 month of field conditioning	F0	Within-generation only	short-term heat exposure mimicking extreme summertime field conditions	0	No	Not tested	chromatin accessibility (ATAC-seq promoter accessibility); transcriptome-wide gene expression (RNA-seq); enriched pathways	Not assessable	4462 heat-responsive accessible sites in field-conditioned vs 4633 in lab-cultured animals, with only 999 overlapping; field-conditioned animals mounted a narrower response enriched for DNA repair, lab animals a broader response including amino acid metabolism; genes up-regulated by heat in field-conditioned animals were already up-regulated pre-stress and stayed up (frontloading-like)	Chromatin; Transcriptome (RNA-seq)	Partial (999 of ~4500 heat-responsive accessible sites shared between conditioning groups)	None	not reported	Full text	None found	natural conditioning contrast (frontloading). Only study in this set with a CHROMATIN layer (ATAC-seq), which is exactly the mechanism layer the atlas is short on. No organismal performance readout under challenge, so direction is Not assessable - molecular efficiency only. Animals collected at dusk 12 h before sampling, so persistence window is effectively zero.	Coral / cnidarian
Wong_2021	10.1111/gcb.15629	33914388	2021	Porites astreoides	Coral/cnidarian	elevated temperature applied as a 'press-pulse-press' sequence (thermal regime of origin, then heat pulse, then transplant environment)	Temperature	Broodstock/adult	initial press: outer Rim reef (lower thermal variability) vs inner Patch reef (higher thermal variability), Bermuda; pulse: 30.4 C ex situ vs ambient control; final press: year-long reciprocal transplant between the two origin sites	21-day ex situ 30.4 C pulse applied during larval brooding, then a year-long adult reciprocal transplant	F0-F1	Maternal	the reciprocal transplant environment itself (foreign vs native site) for adults, and offspring physiology assays for larvae	~365	Yes	Persisted	photosynthesis; endosymbiont density; chlorophyll a; holobiont protein; respiration; larval size; offspring physiological plasticity	Mixed	the 21-day pulse drove significant declines in photosynthesis, endosymbiont density and chlorophyll a with bleaching-phenotype convergence across both origins; after transplant, photosynthesis was HIGHER in previously heated corals (recovery/overshoot); Rim-origin corals had higher respiration and photosynthesis and released larger larvae post-transplant; parental exposure to the pulse increased OFFSPRING PLASTICITY specifically when parents were transplanted to foreign sites	None	Not evaluated	None	adult colonies from two reefs; not further resolved	Abstract + citations	None found	Best-designed within-and-across-generation factorial here: separates 'press' thermal history of origin from a discrete 'pulse' heat event and from the recovery environment. Central finding for the atlas: the legacy of a heat pulse is CONTEXT-DEPENDENT - it only manifested as increased offspring plasticity when the recovery environment was novel, meaning the environment during recovery, not just the priming dose, determines whether a parental effect appears.	Coral / cnidarian
McRae_2021	10.1007/s00338-021-02123-9	34720373	2021	Pocillopora damicornis	Coral/cnidarian	elevated temperature (thermal conditioning of adult colonies)	Temperature	Broodstock/adult	heated adults 29.7 C +/- 0.3 (ramped from 26 C at +0.5 C/12 h over 3 days; set above any spring temperature but just below the 30.1 C summer mean at the source reef) vs control adults 26.2 C +/- 0.4; recruits reared at 26 C or 29.5 C	three consecutive reproductive cycles (March, April, May 2017)	F0-F1	Maternal	recruitment and recruit rearing at 29.5 C vs 26 C (reciprocal offspring temperature)	0	Yes	Not tested	reproductive timing in the lunar cycle; planula number; planula size; recruitment success; recruit survival; recruit size; recruit maximum quantum yield (Fv/Fm)	Worsened	heated colonies reproduced significantly earlier in the lunar cycle and produced fewer and smaller planulae; planulae from 29.5 C adults were significantly smaller in April (t=-2.77, p=0.013) and May (t=-5.71, p<0.001); recruits from heated parents were significantly smaller (April t=-5.08, p<0.001; May t=-14.14, p<0.001) and had lower Fv/Fm (April t=-4.23, p<0.001; May t=-3.65, p=0.002); recruitment was lower at the heated recruitment temperature regardless of parent treatment; recruit survival did not differ	None	Not evaluated	Restoration	24 adult colonies (12 control, 12 heated), 1 colony per tank; 24 planula containers per treatment set; six 26 C and six 29.5 C recruitment tanks (60 L)	Full text	None found	Clear MALADAPTIVE / no-benefit transgenerational result: no evidence that thermal conditioning of adults improved offspring performance in warmer water, and several offspring traits were significantly worse. Authors' caveat: source colonies already experienced chronic warm-water effluent from a nuclear power plant plus intermittent upwelling, which may have exhausted transgenerational acclimation capacity - a key design warning for anyone attempting assisted acclimatization on already thermally stressed broodstock.	Coral / cnidarian
Barott_2021	10.1073/pnas.2025435118	34050025	2021	Porites compressa; Montipora capitata	Coral/cnidarian	reciprocal transplantation between reefs differing in pH, salinity, dissolved oxygen, sedimentation and flow; followed by acute thermal challenge	Multiple	Broodstock/adult	reciprocal transplant between an Inner Lagoon and an Outer Lagoon patch reef (Kaneohe Bay, Hawaii) with distinct physicochemical regimes vs native controls; acute challenge ramped +1 C/day for 6 d to 32.0 C (local maximum monthly mean + 4 C) held 5 d, vs ambient treatment 26-28.6 C	6 months of acclimatization at the destination reef (transplant performed after 1 year of recovery from the 2015 bleaching event)	F0	Within-generation only	acute heat stress: +1 C/day for 6 d to 32.0 C (MMM + 4 C) held 5 d	~180	Yes	Not tested	light-enhanced dark respiration; Fv/Fm; photosynthesis; skeletal accretion/growth; survival; tissue energetics; reproductive output (egg-sperm bundle volume); composite fitness score	No effect	transplantation had NO influence on acute heat stress response - bleaching-resistant phenotypes were retained across environments, indicating a relatively fixed trait; in contrast growth was highly plastic and site-driven, and corals at the higher-flow, more variable Outer Lagoon reef had significantly higher fitness scores regardless of origin	None	Not evaluated	Restoration	160 fragments for the heat challenge (2 per genet per transplant history); 400 fragments re-measured at 6 months; reproductive output on 40 fragments (1 per parent per history) at 9-11 months; n=10 genets	Full text	None found	Directly relevant to restoration: heat tolerance travelled WITH the coral (fixed), so bleaching-resistant genotypes can be moved without losing the trait - but by the same token 6 months in a more variable environment did NOT confer additional tolerance. Growth/fitness were plastic while heat response was not, so the two traits decouple. Useful counterpoint to variable-environment conditioning claims.	Coral / cnidarian
Drury_2022	10.1038/s41467-022-32452-4	35970904	2022	Montipora capitata	Coral/cnidarian	elevated temperature delivered as four short-term pre-exposure profiles (constant high, pulse, pulse increase, pulse high)	Temperature	Broodstock/adult	four pre-exposure profiles between 28 C and 31.5 C (constant high, pulse, pulse increase, pulse high) accumulating 1.1-2.7 eDHW, with a ~9-fold range in rate of change (C/h), vs 28 C control	5 d pre-exposure (after 2 weeks indoor acclimation), then returned to the collection reef at ~2 m depth for recovery	F0	Within-generation only	tank stress test heated 28 C to 32.5 C over 10 d then held at 32.5 C	124	No	Persisted	photosynthetic efficiency (Fv/Fm) dose-response, ED10; bleaching; transcriptome-wide gene expression	Improved	ED10 significantly higher than unconditioned controls for the constant-high profile (bleached p=0.038; nonbleached p=0.003) and the pulse profile (bleached p=0.033; nonbleached p=0.029), 124 d after pre-exposure ended. NOTE: an earlier draft of this row quoted F=2.498, p=0.042 -- that ANOVA is on INITIAL Fv/Fm before the ramp and the authors explicitly discount it as driven by a single pulse-increase vs pulse-high comparison (Tukey HSD p=0.037).	Transcriptome (RNA-seq)	Partial	Restoration	10 genotypes; ~500 fragments total; 5-7 fragments per colony per treatment (n=299 returned to the reef); 2 replicate tanks per pre-exposure treatment; RNA from 50 designated fragments at 2 timepoints	Full text	None found	Longest persistence for a SHORT pre-exposure followed by full recovery in ambient conditions: 124 days (other rows report longer windows, but under continuous or repeated exposure rather than a clean recovery gap) (~4 months) after a 5-day pre-exposure, described by the authors as 'a striking expansion of the known duration of acclimatization effects in corals'. Two of four profiles worked, so profile shape (rate of change, pulse structure) matters as much as accumulated dose. Substantial cryptic genotype variation in acclimatization potential, and NO relationship to baseline tolerance, implying additive gains are possible. Caveat: no RNA sampled during the 124-day recovery, so the molecular persistence trajectory is unknown.	Coral / cnidarian
Ross_2022	10.7717/peerj.13112	35345587	2022	Montipora capitata; Montipora flabellata	Coral/cnidarian	elevated temperature (annual bleaching-level mesocosm conditioning) then outplanting to an ocean tree nursery	Temperature	Broodstock/adult	mesocosm conditioning at +2 C above the present-day 2-week O'ahu average (approximately 24 degree heating weeks per year of bleaching stress) vs ambient mesocosm control	approximately two years in mesocosms	F0	Within-generation only	natural warming event on the reef nursery reaching a peak of about 20-23 degree heating weeks (comparable to the mesocosm stress level)	not reported	Yes	Not tested	calcification/growth rate (buoyant weight); survival; partial and total mortality; paling/bleaching; predation	No effect	for both species, previous exposure to elevated temperature in the mesocosms provided NO benefit to growth or survival during the natural warming event on the coral trees; M. capitata growth variance was explained primarily by genotype (tank mean 9.43 +/- 0.404 vs tree 12.34 +/- 0.664 mg g-1 d-1); M. flabellata growth was explained by both genotype and culture method (tank 5.95 +/- 0.308 vs tree 3.72 +/- 0.227), i.e. tank performance did not predict tree performance	None	Not evaluated	Restoration	M. capitata 17 genotypes / 50 pooled ramets in tanks and 81 on trees; M. flabellata 13 genotypes / 41 in tanks and 48 on trees	Full text	None found	The key negative result for applied assisted acclimatization: two years of annual-bleaching-level stress hardening in mesocosms conferred no measurable advantage once fragments were outplanted to an in situ tree nursery and hit by a real 20-23 DHW warming event. Individual GENOTYPE, not preconditioning, dominated outcomes. Also shows tank growth performance does not transfer to nursery growth performance in one of the two species - a direct warning about mesocosm-based screening for restoration.	Coral / cnidarian
Galanto_2022	10.1007/s00338-022-02241-y	35368716	2022	Leptastrea purpurea	Coral/cnidarian	elevated temperature applied to parental colonies	Temperature	Broodstock/adult	parental colonies heated from 28 C to 30.5 C over one hour and held (30.5 C = Guam's warmest recorded 2018 temperature and the NOAA bleaching threshold; 1-4 C above site MMM) vs 28 C control; larvae and recruits then held at ambient	Experiment 1: 11 weeks; Experiment 2: 4 weeks (two consecutive years)	F0-F1	Maternal	none (baseline only) - larvae and recruits were assessed at ambient temperature, not re-challenged with heat	0	Yes	Not tested	larval production (number); larval size; settlement rate and substrate choice; post-settlement recruit survival; adult tissue colour (CoralWatch)	Improved	heat-treated colonies released significantly more larvae (Experiment 1: 234 larvae, 3.7/day vs control 115 larvae, 1.8/day over 64 days; p<0.001); larvae were significantly smaller overall (p<0.05; e.g. batch 1 0.55 +/- 0.03 vs control 0.7 +/- 0.05 mm); settlement rate and substrate choice unchanged; recruits from heated parents had significantly higher survival in the 4-week batch (Cox proportional hazards); no adult bleaching in either experiment	None	Not evaluated	None	6 flow-through tanks, 4 colonies per tank (3 heated tanks, 3 control); 3 larval collection batches; survival experiment n=35, 24 and 18 larvae for batches 1-3	Full text	None found	Interpreted by the authors as an anticipatory MATERNAL EFFECT (smaller but more numerous, preconditioned larvae) rather than damage. Important caveat for the atlas: offspring were never challenged with heat, so the supposed benefit under warming was NOT tested - the survival advantage appeared under benign conditions, raising the authors' own question of whether the effect is a warming-specific adaptation or a general fitness gain. Batch 2 and 3 survival comparisons were underpowered (18-24 larvae, 2-3 weeks) because of a COVID-19 laboratory closure.	Coral / cnidarian
Jiang_2022	10.1111/mec.16826	36528869	2022	Pocillopora damicornis	Coral/cnidarian	elevated temperature (parental heat acclimation during brooding)	Temperature	Broodstock/adult	adults ramped from 28.5 C at +0.5 C/day to 32 C (about 2 C above the local community bleaching threshold) and held, vs control at 29 C (mean summer ambient); larvae then reciprocally incubated at 28.9 C or 32.4 C	adult acclimation about 1 month (ramp began 25 September, held at 32 C until 27 October), spanning the development of the October larval cohort	F0-F1	Maternal	5-day larval exposure to 32.4 C vs 28.9 C (reciprocal transplant design)	0	No	Not tested	larval survival; thermal performance curves; symbiont density; Fv/Fm; photosynthesis and autotrophy; light-enhanced dark respiration; larval volume; host and symbiont transcriptomes (RNA-seq)	Improved	symbiont densities of larvae from CONTROL adults declined by 50% after 5 days at 32.4 C, whereas larvae from heat-acclimated adults showed zero change at 32.4 C and doubled symbiont populations at 28.9 C; heat-acclimated adults themselves lost 50% of symbionts; peak larval release occurred 4 days earlier and peak-release larval numbers were twice the control; larval volume and Fv/Fm at release did not differ	Transcriptome (RNA-seq)	Not evaluated	None	3 colonies per treatment released larvae; 8 tanks (4 at 28.9 C, 4 at 32.4 C) for the larval exposure; larvae in beakers/glass vials with daily water exchange	Full text	None found	Strong beneficial transgenerational result with an explicit COST: improved larval heat tolerance was paralleled by reduced light-enhanced dark respiration, i.e. metabolic depression - a documented energetic trade-off. Note the parental dose was severe enough to bleach the adults (50% symbiont loss), so the benefit to larvae was purchased with adult damage. Symbiont molecular coordination (light harvesting, photoprotection, carbon fixation) and shifted nutrient translocation toward the host were detected in larvae from acclimated adults.	Coral / cnidarian
