10.1186/s12864-025-11660-4	Environmental acclimatization of the relatively high latitude scleractinian coral Pavona decussata: integrative perspectives on seasonal subaerial exposure and temperature fluctuations	Field multi-omics comparison of air-exposed vs permanently submerged colonies with no defined priming-then-challenge structure and no later imposed stressor.
10.1016/j.marpolbul.2024.117250	Symbiodiniaceae phenotypic traits as bioindicators of acclimatization after coral transplantation	Monitors symbiont phenotypic traits after transplantation; no sublethal priming treatment and no later stress challenge.
10.1371/journal.pone.0303779	Corals that survive repeated thermal stress show signs of selection and acclimatization	Field monitoring of 1,832 colonies through repeated natural heatwaves; qualifies loosely as a natural conditioning contrast but has no controlled priming dose, and the authors cannot separate individual acclimatization from mortality of susceptible individuals. NOTE FOR CURATOR: reduced bleaching over time in specific individuals over a 7-year record - promotable if observational designs are admitted.
10.1002/ecy.4388	Microhabitat acclimatization alters sea anemone-algal symbiosis and thermal tolerance across the intertidal zone	Qualifies as a natural conditioning contrast (high vs low intertidal Anthopleura elegantissima brought into a common-garden thermal challenge) but no experimental priming phase and no persistence window; dropped to keep the row set within scope. NOTE FOR CURATOR: promotable - it is the only Anthopleura record found.
10.1038/s41598-024-57319-0	Gene expression plasticity facilitates acclimatization of a long-lived Caribbean coral across divergent reef environments	Four-year three-way reciprocal transplant of Siderastrea siderea with no imposed sublethal priming exposure and no subsequent thermal challenge; outcome is survival/growth/expression in the destination environment only.
10.1371/journal.pone.0291503	Long-term coral microbial community acclimatization is associated with coral survival in a changing climate	22-month chronic exposure to future-ocean conditions with no discrete priming phase and no subsequent independent challenge; chronic-exposure design, not preconditioning.
10.1038/s41598-022-06896-z	Physiological acclimatization in Hawaiian corals following a 22-month shift in baseline seawater temperature and pH	Chronic 22-month exposure to warming/acidification with no later challenge applied to conditioned vs naive animals.
10.1038/s41467-023-38610-6	Host transcriptomic plasticity and photosymbiotic fidelity underpin Pocillopora acclimatization across thermal regimes in the Pacific Ocean	Field survey of 102 colonies across a historical thermal gradient; provenance-based expression contrast with no experimental preconditioning and no imposed challenge.
10.1038/s42003-022-04327-3	Acclimatization of a coral-dinoflagellate mutualism at a CO2 vent	Lifelong in situ residency at a CO2 vent with no discrete priming phase and no later challenge; stressor is pH but the design is chronic exposure, not preconditioning.
10.1038/s41598-021-98976-9	Coral micro- and macro-morphological skeletal properties in response to life-long acclimatization at CO2 vents in Papua New Guinea	Lifelong CO2-vent exposure with skeletal endpoints only; no priming-then-challenge design.
10.1111/1462-2920.15624	Microbiome of juvenile corals in the outer reef slope and lagoon of the South China Sea: insight into coral acclimatization to extreme thermal environments	Descriptive microbiome comparison across habitats; no priming exposure and no later challenge.
10.1111/1462-2920.70011	Heat-Evolved Microalgae (Symbiodiniaceae) Are Stable Symbionts and Influence Thermal Tolerance of the Sea Anemone Exaiptasia diaphana	Conditioning (experimental thermal evolution) was applied to cultured algal symbionts, not to the cnidarian host; the host received pre-selected strains.
10.1038/s41467-022-31350-z	Microbiota mediated plasticity promotes thermal adaptation in the sea anemone Nematostella vectensis	Long-term thermal acclimation of Nematostella with microbiota transplantation and F1 fitness measurement does qualify on criteria 1-4, but the causal manipulation reported is microbiota transfer rather than a thermal priming dose, and dose/persistence numbers were not extracted. NOTE FOR CURATOR: promotable to a row - higher thermal tolerance of high-temperature-acclimated animals was transferable to non-acclimated animals via microbiota transplant, and offspring fitness was highest from F0 females acclimated to high temperature.
10.1111/mec.15300	Free-living and symbiotic lifestyles of a thermotolerant coral endosymbiont display profoundly distinct transcriptomes under both stable and heat stress conditions	Symbiont-focused transcriptomics (Durusdinium trenchii in hospite vs free-living); no priming exposure applied to the host and no later-life host outcome.
10.1098/rspb.2017.2654	Multi-omics analysis of thermal stress response in a zooxanthellate cnidarian reveals the importance of associating with thermotolerant symbionts	Compares three geographic Exaiptasia strains under a single 24 h heat stress; provenance/strain contrast with no imposed priming exposure and no persistence window.
10.3390/ani13020291	Assessing the Trophic Impact of Bleaching: The Model Pair Berghia stephanieae / Exaiptasia diaphana	Concept/methods proposal for a model system, not a primary empirical conditioning experiment (criterion 4).
