Marceta_2022	10.1016/j.aquatox.2022.106208	35635983	2022	Paracentrotus lividus	Echinoderm	reduced pH (elevated pCO2)	pH/OA	Broodstock/adult	pH 7.7 and pH 7.4 vs control pH 8.0	2 months of parental exposure during gametogenesis	F0-F1	Both parents	sperm activated at pH 8.0, 7.7 or 7.4; larvae from each parental group reared at pH 8.0 or 7.7 for 20 days	0	Yes	Decayed	sperm motility, velocity, ATP content, ATP consumption, respiration rate; larval mortality; larval somatic growth	Mixed	POSITIVE carryover on sperm: velocity decreased more slowly and ATP content was higher in sperm developed under acidified conditions (longer sperm longevity); sperm motility and respiration unaffected. NEGATIVE carryover on larvae: reduced survival of larvae from pH 7.4 parents, with additive negative effects of parental plus larval low pH; larvae from low-pH parents showed NO increased capacity to cope with OA and all groups showed reduced somatic growth at low rearing pH	None	Not evaluated	None	not reported	Abstract + citations	None found	Stage-dependent REVERSAL: the same parental conditioning benefited the gamete stage and harmed the larval stage. Direct counterexample to positive-TGP expectations in echinoids.
Iguchi_2024	10.1016/j.scitotenv.2024.172616	38642751	2024	Mesocentrotus nudus	Echinoderm	reduced pH (acidified seawater)	pH/OA	Broodstock/adult	acidified seawater vs control seawater (pH and pCO2 set points not reported in abstract)	two-generation rearing experiment (exposure length not reported in abstract)	F0-F1	Both parents	larvae exposed to acidified seawater of the same pH as the parental treatment	0	No	Not tested	larval survival; larval body size; larval morphology	Improved	larvae derived from parents acclimated to acidified seawater tended to have higher survival and showed less reduction in body size when exposed to the same pH, indicating a positive carry-over effect; no quantitative statistics in the abstract	Transcriptome (RNA-seq)	Partial (expression patterns of larvae from acclimated parents were substantially different from those of larvae from non-acclimated and control parents, but no quantitative overlap reported)	Aquaculture	not reported	Abstract only	None found	Closed access; dose, exposure duration and replication were NOT extractable, which is a notable reporting gap for one of the few clearly POSITIVE echinoderm OA carryover results. Species is a commercial edible urchin in northern Japan.
Clark_2019	10.1038/s41598-018-37255-6	30700813	2019	Psammechinus miliaris	Echinoderm	reduced pH (elevated pCO2)	pH/OA	Broodstock/adult	pH 7.72 / 1013 +/- 12 uatm pCO2 vs pH 8.06 / 412 +/- 6 uatm pCO2	2 months of adult conditioning at treatment pCO2 (preceded by 2 months acclimation to aquarium seawater; 4 months total in Menai Straits water before spawning)	F0-F1	Both parents	larvae spawned and reared at ~1000 uatm; separate acute heat shock of 25 C for 1 h applied to adults and to 2 and 4 dpf larvae	0	Yes	Persisted	larval transcriptome at 2, 3 and 4 dpf; HSP70 and HSP90 transcript induction by qPCR; larval morphometrics and abnormality rate	Improved	larvae from low-pH-acclimated adults up-regulated antioxidants (glutathione-S-transferase family), CypP450 detoxification genes and small HSPs, i.e. maternal transcript pre-loading; larvae reared in low pH had 25-40% abnormalities and significantly smaller body length:width ratio (F=8.035, p=0.005); early larvae could not mount a full heat shock response (2 HSP transcripts up at 2 dpf, 5 at 4 dpf vs 8 in adults)	Transcriptome (RNA-seq); Targeted qPCR	Partial (transcriptional frontloading of antioxidants is concordant with previously reported improved larval performance under low pH, but larval morphology remained impaired)	None	5 females and 2 males successfully spawned per treatment with gametes pooled; 3 replicate larval cultures per treatment	Full text	None found	Mechanistic case for maternal pre-loading of protective transcripts. Caveat stated by the authors: the 2-month conditioning did NOT cover the whole reproductive cycle. Larval morphological impairment persisted despite the molecular priming.
Zhao_2018	10.1016/j.ecoenv.2018.01.014	29353170	2018	Strongylocentrotus intermedius	Echinoderm	elevated temperature	Temperature	Broodstock/adult	~+3 C above ambient (21 C vs 18 C ambient/laboratory control)	~15 months of dam and sire exposure	F0-F1	Both parents	offspring reared at elevated (21 C) or ambient (18 C) temperature	0	Yes	Not tested	fertilization success; hatchability; larval survival; larval size traits; abnormality; metamorphosis	Worsened	no transgenerational effect on fertilization or metamorphosis; NEGATIVE transgenerational effects on hatchability and on most larval size traits; S. intermedius probably cannot achieve transgenerational acclimation to long-term elevated temperature for survival when offspring are also at elevated temperature; dam and sire effects were highly trait- and stage-dependent	Transcriptome (RNA-seq)	Discordant (companion transcriptome study on the same F0/F1 animals, Shi et al. 2020, 10.1038/s41598-020-64872-x, found 1891 DEGs from parental thermal history at ambient and 2203 at high developmental temperature, with 904 shared DEGs changing in the same direction and FEWER DEGs between developmental temperatures in embryos of warm parents - a molecular frontloading signature that maps onto WORSE performance)	Aquaculture	breeding design with multiple dams and sires (n per cross not stated in abstract); companion transcriptome used 3 biological replicates per group (12 mRNA libraries)	Abstract + citations	None found	MALADAPTIVE: explicit failure of transgenerational acclimation despite 15 months of parental conditioning. Valuable because it pairs a negative phenotype with a strong molecular response (see concordance field).
MassambaNSiala_2014	10.1242/jeb.094474	24675556	2014	Ophryotrocha labronica	Polychaete/other	maternal temperature shift timed to early vs late oogenesis	Temperature	Broodstock/adult	mothers reared at 24 C then shifted to 18 C or to 30 C	thermal cue applied at either an early or a late stage of oogenesis (exact durations not stated in abstract)	F0-F1	Maternal	adult offspring acclimated to 18 or 30 C, then upper and lower thermal tolerance limits measured (onset of spasms, lethal temperature)	not reported	Yes	Persisted	offspring upper and lower thermal tolerance limits measured at the adult stage	Mixed	EARLY-oogenesis cue: mothers produced offspring with greater cold AND heat tolerance whenever mother-offspring temperatures did NOT match (anticipatory maternal effect); LATE-oogenesis cue: more tolerant offspring when temperatures PERSISTED across generations; the maternal effect disappears as traits approach the upper sublethal and lethal limits	None	Not evaluated	None	reproductive pairs isolated in 20 ml glass bowls (n per treatment not stated in abstract)	Abstract + citations	None found	The single most important design lesson in this table: the DIRECTION of transgenerational plasticity reverses depending on the timing of the maternal cue within oogenesis. Also notable that the maternal effect persisted into the ADULT offspring stage, against the usual expectation that maternal effects fade early.
Chakravarti_2016	10.1111/eva.12391	27695521	2016	Ophryotrocha labronica	Polychaete/other	ocean warming, ocean acidification, and their combination	Multiple	Broodstock/adult	OW +3 C; OA pH -0.5 units; OWA +3 C and pH -0.5; vs control conditions	full parental generation exposure across the life cycle	F0-F1	Both parents	F1 exposed to the same OW, OA or OWA conditions (trans-generational) vs F1 exposed with control parents (within-generational)	0	Yes	Persisted	fecundity; egg volume; juvenile growth rate; citrate synthase and electron transport system activity	Mixed	trans-generational OW exposure FULLY alleviated the within-generation reduction in fecundity and egg volume, accompanied by increased metabolic activity; within-generation OA reduced juvenile growth rates and egg volume, and trans-generational OA exposure alleviated the growth deficit but could NOT restore egg volume (mean egg volume still ~10% below control); OWA had no negative impacts either within- or trans-generationally	None	Not evaluated	Both	n=12 replicate breeding pairs per treatment for fecundity	Full text	None found	Explicitly framed as a test of human-assisted trans-generational conditioning as a conservation/restoration and aquaculture tool. Authors' conclusion is the useful caution: trans-generational exposure does not always improve traits and may not be a universally useful tool.
Jarrold_2019	10.1098/rstb.2018.0428	30966961	2019	Ophryotrocha labronica	Polychaete/other	elevated temperature, and elevated temperature combined with elevated salinity	Multiple	Multiple	30 C (+3 C above the 27 C control) and 39 ppt elevated salinity vs control temperature and salinity; salinity alone was not tested	entire lifespan, both within-generation and trans-generation; transplants performed at either the egg-mass or the juvenile stage	F0-F1	Both parents	F1 exposed to the same elevated-temperature or temperature+salinity conditions; reciprocal transplants at egg-mass vs juvenile stage	0	Yes	Persisted	juvenile growth rate; maximum body size; longevity; lifespan fecundity; citrate synthase and electron transport system activity	Mixed	trans-generation exposure restored 20% (elevated temperature) and 21% (temperature plus salinity) of lifespan fecundity; under temperature+salinity, worms transplanted at the egg-mass stage grew slower with lower energy-metabolism enzyme activity but reached a larger maximum body size and lived longer than those transplanted as juveniles; trans-generation elevated temperature created a trade-off in which slower-growing juveniles had greater lifespan fecundity	None	Not evaluated	None	not reported	Abstract + citations	None found	One of very few marine-invertebrate designs that includes SALINITY conditioning. Only ~20% of the fecundity deficit was recovered, i.e. partial rescue at best. The TIMING of the transplant itself generated life-history trade-offs, so developmental window matters as much as dose.
Jensen_2014	10.1111/1365-2435.12195	not reported	2014	Hydroides diramphus	Polychaete/other	reduced salinity	Salinity	Broodstock/adult	26 ppt (low) vs 35 ppt (normal) seawater	2 weeks of adult exposure before reproduction; parents could be switched back and forth between salinities	F0-F1	Both parents	in vitro fertilization and larval rearing in matched vs mismatched salinity; larvae switched from natal to non-natal salinity immediately after fertilization or 2 or 4 days after fertilization, with survival scored 2 days after each switch	0	Yes	Persisted	sperm head area and tail length; egg morphology; fertilization success; larval survival	Mixed	both mothers and fathers adaptively adjusted gamete phenotype to maximise performance in the parental salinity regime; sperm from low-salinity fathers were much smaller while egg morphology did not change; STRONG performance trade-offs whenever gametes experienced a salinity that did not match the parents; larvae switched on the day of fertilization had the LOWEST survival and later switches progressively higher survival; the parental-environment effect persisted for the whole larval phase	None	Not evaluated	None	4 tubs per salinity treatment; sperm from 3 males and eggs from 3 females pooled per assay	Full text	None found	Best available demonstration that conditioning MANUFACTURES phenotype-environment mismatch: conditioned larvae are effectively unable to disperse to non-natal salinities, so gamete plasticity becomes a source of reduced connectivity. Parents could reverse the gamete phenotype based on their most recent experience, i.e. the memory is short and rewritable.
Neylan_2022	10.1002/ece3.9524	not reported	2022	Bugula neritina	Polychaete/other	copper	Pollutant	Broodstock/adult	maternal colonies 300 ug/L Cu vs filtered seawater control; larvae subsequently 50 ug/L Cu vs filtered seawater control	6 h maternal exposure after larval release, then colonies returned to their field site to brood the test larvae	F0-F1	Maternal	larval copper exposure at 50 ug/L, then settlement and growth to maturity in the field with survival and growth tracked weekly for 6 weeks	~42	Yes	Persisted	larval size at emergence; post-metamorphic survival; adult colony growth in the field	Worsened	in the population with NO historical copper exposure (Boat Ramp), maternal copper exposure had a strong NEGATIVE carryover effect on adult offspring growth and survival, worst when larvae were themselves also exposed; in the population WITH a copper history (Marina) there was little to no maternal or offspring treatment effect on adult growth and survival, and those parents produced larger larvae on average and increased larval size in response to copper; significant effect of population on F1 growth after 6 weeks in the field (LMM p<0.05)	None	Not evaluated	Biomonitoring	split-brood design across 2 populations with copper and control maternal treatments crossed with copper and control larval treatments (n per cell not extracted)	Full text	None found	MALADAPTIVE in naive populations: the direction of transgenerational plasticity is itself a locally adapted trait. Persistence figure is the 6-week post-settlement field tracking window; the interval between the end of maternal exposure and larval release (field brooding) was not resolved to days.
Marshall_2008	10.1890/07-0449.1	not reported	2008	Bugula neritina	Polychaete/other	copper	Pollutant	Broodstock/adult	copper exposure of maternal colonies vs toxicant-naive control (concentration not stated in abstract; cited by Neylan et al. 2022 as the basis for their 300 ug/L, 6 h protocol)	laboratory copper exposure of maternal colonies followed by 1 week in the field to brood offspring	F0-F1	Maternal	offspring copper resistance assay, then 6 weeks in the field under low vs high intraspecific competition	~49	Yes	Decayed	larval size; larval dispersal duration; larval copper resistance; post-metamorphic survival and performance	Mixed	offspring of toxicant-exposed mothers were LARGER, more dispersive and more copper-resistant than offspring of naive mothers; BUT maternal exposure history had pervasive NEGATIVE effects on post-metamorphic performance, particularly survival, after 6 weeks in the field, especially under high intraspecific competition	None	Not evaluated	Biomonitoring	not reported	Abstract + citations	None found	The canonical stage-reversal / maladaptive result: conditioning improves performance in one life-history stage and reduces it in the next. Author's interpretation is that this cost is precisely why pollution resistance is INDUCED rather than constitutively expressed. Persistence figure combines the ~1 week brooding period and the 6-week field assessment.
NgKeough_2003	10.3354/meps257077	not reported	2003	Watersipora subtorquata	Polychaete/other	copper	Pollutant	Larva	100 ug/L Cu (as CuCl2.2H2O, Cu2+) vs artificial seawater control	6 h larval exposure	F0	Within-generation only	transplantation of settled juveniles to 2 field sites in 2 seasons (winter and summer), with survival and growth followed for months	~21	Yes	Strengthened	larval attachment rate; metamorphosis success; post-metamorphic colony survival; colony growth	Worsened	Cu accelerated larval attachment in both seasons but inhibited metamorphosis; colony survival fell to about two-thirds of control in summer and to about 20% of control in winter; the survival decline occurred abruptly 3-5 weeks after exposure in summer and 14 weeks after exposure in winter, by which time colonies were 10-15 mm diameter (~100 zooids) and had undergone several budding cycles; surviving colonies grew more slowly than controls	None	Not evaluated	Biomonitoring	2 seasons x 2 sites in SE Australia; transplanted colonies followed individually (n not extracted)	Full text	None found	BEST persistence-window dataset in this table and a strong maladaptive case: a 6 h larval exposure produced NO detectable survival effect for 3-14 weeks and then caused catastrophic mortality, with season setting the latency. Authors note this is far later than any previously reported carryover effect and that the larva could not have accumulated enough Cu in 6 h to affect all zooids directly, implying an inherited/propagated cellular lesion. Persistence recorded as ~21 d (earliest summer detection of the survival drop, 3-5 wk); the winter latency was ~98 d (14 wk), so season roughly quadrupled the delay before the carryover effect appeared.
Shen_2022	10.1021/acs.est.2c04975	36479946	2022	Haliotis discus hannai	Gastropod	moderate hypoxia	Hypoxia	Embryo	~4 mg/L dissolved oxygen vs normoxic control	from zygote to trochophore stage (duration in hours not reported in abstract)	F0	Within-generation only	hypoxia tolerance assessment at the grow-out (juvenile) stage	not reported	No	Not tested	hypoxia tolerance; weight growth rate	Mixed	juvenile abalone exposed to hypoxia during early development were MORE hypoxia-tolerant but showed SLOWER weight growth - an explicit growth-versus-survival trade-off; no quantitative statistics available in the abstract	Transcriptome (RNA-seq); ncRNA	Partial (carry-over phenotype attributed to strong selection on genes for signal transduction, autophagy, apoptosis and hormone regulation, plus long non-coding RNA regulation of DNA replication and repair, signal transduction, myocardial activity and hormone regulation)	Aquaculture	not reported	Abstract + citations	None found	The only marine gastropod hypoxia-priming study located. Closed access, so exposure duration and persistence interval were not extractable. Important caveat: whole-genome resequencing showed strong SELECTION, so the authors cannot separate genetic selection from epigenetic carryover - this is differential survival as much as conditioning.
Zhao_2024	10.1016/j.scitotenv.2024.173585	38810735	2024	Tigriopus japonicus	Crustacean	nickel and ocean acidification, singly and combined	Multiple	Multiple	Ni 6 ug/L; pCO2 1000 uatm; and their combination; vs control seawater	six consecutive generations (F1-F6) of continuous exposure, followed by one generation (F7) in clean seawater	F1-F6 plus F7 recovery generation	Route not resolved	one full generation of recovery in clean seawater (F7), with transcriptome compared against F6	not reported	Yes	Decayed	development; reproduction; survival; nickel accumulation; transcriptome	Mixed	Ni exposure compromised development, reproduction and survival across F1-F6, but ocean acidification ANTAGONISTICALLY alleviated Ni toxicity so that under combined exposure there was no disruption of Ca homeostasis and no inhibition of the calcium- or oxytocin-signalling pathways; the COST was a loss of transcriptome plasticity during recovery in F7, which limited the copepods' resilience when returned to their previous environment	Transcriptome (RNA-seq)	Partial (F6 within-generation and F7 recovery transcriptomes compared directly; no quantitative overlap figure extracted)	Biomonitoring	not reported	Abstract + citations	None found	Rare and highly relevant design: explicitly tests RECOVERY after multigenerational conditioning. The finding that multigenerational acclimation carried a hidden cost - reduced capacity to revert - is exactly the kind of latent maladaptive outcome this lab should flag.
Lee_2023	10.1016/j.jhazmat.2023.131037	36842400	2023	Tigriopus japonicus	Crustacean	nanoplastics under ocean acidification	Multiple	Multiple	nanoplastics combined with ocean acidification vs control (nanoplastic concentration and pCO2 set points not reported in abstract)	ten consecutive generations of multigenerational exposure, plus transgenerational groups returned to clean conditions	F0 through F10 exposed, plus unexposed F1T and F2T transgenerational groups	Route not resolved	none (the F1T and F2T transgenerational groups were never themselves exposed to nanoplastics)	not reported	Yes	Persisted	reproduction (fecundity); gene-specific DNA methylation	Worsened	synergistic NEGATIVE effect of ocean acidification and nanoplastics on copepod reproduction across generations; reproductive impairment was still present in the F1T and F2T generations that had NEVER been exposed to nanoplastics	Methylation (targeted, gene-specific); Targeted qPCR	Concordant (the intergenerational reproductive impairments were associated with differential methylation patterns of specific genes)	Biomonitoring	not reported	Abstract only	None found	MALADAPTIVE across an exposure gap: harm inherited by descendants that never met the stressor, with a methylation correlate. Closed access, so doses and the recovery interval in days were not extractable.
